DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball,Ball Set,Machine,DrawNumber
03-Mar-2025,35,22,25,47,28,4,SFL8,Excalibur 5,623
27-Feb-2025,10,18,34,36,27,3,SFL8,Excalibur 5,622
24-Feb-2025,15,29,3,19,10,6,SFL8,Excalibur 5,621
20-Feb-2025,5,37,26,21,8,1,SFL8,Excalibur 4,620
17-Feb-2025,16,26,41,25,34,3,SFL8,Excalibur 4,619
13-Feb-2025,41,24,44,19,10,4,SFL7,Excalibur 4,618
10-Feb-2025,10,39,1,14,34,6,SFL7,Excalibur 4,617
06-Feb-2025,33,6,35,25,26,1,SFL9,Excalibur 6,616
03-Feb-2025,34,3,39,13,23,4,SFL9,Excalibur 6,615
30-Jan-2025,42,8,33,17,12,7,SFL8,Excalibur 6,614
27-Jan-2025,5,19,21,16,36,8,SFL8,Excalibur 6,613
23-Jan-2025,11,45,22,32,21,6,SFL7,Excalibur 5,612
20-Jan-2025,32,3,2,35,36,9,SFL7,Excalibur 5,611
16-Jan-2025,9,15,33,44,12,10,SFL9,Excalibur 5,610
13-Jan-2025,11,36,43,37,16,9,SFL9,Excalibur 5,609
09-Jan-2025,13,11,45,14,10,3,SFL8,Excalibur 4,608
06-Jan-2025,26,21,38,31,10,9,SFL8,Excalibur 4,607
02-Jan-2025,28,44,8,27,12,9,SFL7,Excalibur 4,606
30-Dec-2024,28,35,13,8,29,10,SFL4,Excalibur 4,605
26-Dec-2024,29,11,9,24,36,6,SFL6,Excalibur 6,604
23-Dec-2024,28,2,19,23,18,3,SFL6,Excalibur 6,603
19-Dec-2024,4,38,41,7,20,5,SFL5,Excalibur 6,602
16-Dec-2024,16,6,23,30,28,7,SFL5,Excalibur 6,601
12-Dec-2024,43,30,42,22,13,5,SFL4,Excalibur 5,600
09-Dec-2024,22,8,40,5,21,10,SFL4,Excalibur 5,599
05-Dec-2024,45,12,11,36,10,8,SFL6,Excalibur 5,598
02-Dec-2024,25,37,34,31,3,6,SFL6,Excalibur 2,597
28-Nov-2024,19,28,24,39,32,9,SFL5,Excalibur 1,596
25-Nov-2024,29,38,31,34,18,1,SFL5,Excalibur 1,595
21-Nov-2024,3,35,12,43,13,1,SFL4,Excalibur 1,594
18-Nov-2024,10,19,2,8,24,9,SFL4,Excalibur 1,593
14-Nov-2024,1,17,39,30,3,5,SFL6,Excalibur 3,592
11-Nov-2024,24,9,31,1,36,8,SFL5,Excalibur 3,591
07-Nov-2024,26,7,23,9,10,1,SFL6,Excalibur 3,590
04-Nov-2024,44,14,22,5,33,5,SFL5,Excalibur 3,589
31-Oct-2024,24,15,37,18,9,7,SFL4,Excalibur 2,588
28-Oct-2024,43,39,47,12,15,5,SFL4,Excalibur 2,587
24-Oct-2024,45,37,11,29,2,6,SFL6,Excalibur 2,586
21-Oct-2024,38,19,8,32,15,9,SFL6,Excalibur 2,585
17-Oct-2024,17,32,12,27,43,3,SFL5,Excalibur 1,584
14-Oct-2024,3,32,34,15,28,5,SFL5,Excalibur 1,583
10-Oct-2024,18,7,13,20,31,8,SFL4,Excalibur 1,582
07-Oct-2024,23,17,22,18,29,7,SFL4,Excalibur 1,581
03-Oct-2024,35,43,33,34,22,10,SFL6,Excalibur 3,580
30-Sep-2024,14,36,21,6,24,1,SFL6,Excalibur 3,579
26-Sep-2024,41,32,33,27,47,4,SFL5,Excalibur 3,578
23-Sep-2024,30,43,18,12,35,6,SFL5,Excalibur 3,577
19-Sep-2024,46,30,6,5,47,5,SFL4,Excalibur 2,576
16-Sep-2024,17,13,12,30,15,10,SFL1,Excalibur 2,575
12-Sep-2024,4,1,39,38,23,3,SFL3,Excalibur 2,574
09-Sep-2024,32,4,6,45,35,6,SFL3,Excalibur 2,573
05-Sep-2024,23,5,32,44,3,8,SFL2,Excalibur 1,572
